dataset,algorithm,seed,setting,k,r,selected_agents,selected_agents_count,macro_f1_mean,macro_f1_std,macro_f1_best,best_agent_id,mia_auc,mia_auc_std,trajectory_l1,trajectory_l2,label_l1,target_exposure,solver_success,solve_time_sec,run_dir
20newsgroups,d-federaser,44,AS,1,,6,1,0.26885899188530765,0.0,0.26885899188530765,6,0.456390977443609,0.0,2.225317752890244,0.5657788196945504,0.7793462255958082,0.016709233609322173,True,0.01809859275817871,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count1/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_234604
20newsgroups,d-federaser,44,AS,2,,4 6,2,0.4205837463190404,0.0,0.4205837463190404,4,0.4669172932330827,0.0,1.2189104447996375,0.27500418019305456,0.5369593460720776,0.016709233609322173,True,0.19613075256347656,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count2/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_234608
20newsgroups,d-federaser,44,AS,3,,3 7 8,3,0.38024725274725285,5.551115123125783e-17,0.3802472527472528,3,0.5053467000835422,0.0005907324821942884,0.836110849058664,0.18926157163711135,0.3951740613460245,0.07295006598978748,True,0.21900701522827148,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count3/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_234650
20newsgroups,d-federaser,44,AS,4,,3 4 6 9,4,0.4584239870317236,0.01760576804982415,0.48771645021645027,3,0.4848057644110276,0.005120527543658218,0.615524266550564,0.1491490467363247,0.2684715250386215,0.08716728132618434,True,0.26317644119262695,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count4/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_234734
20newsgroups,d-federaser,44,AS,5,,3 4 6 7 8,5,0.42373049336284635,0.02589212942026127,0.4561072261072261,4,0.5015789473684211,0.016199396969734003,0.4327202731959673,0.11313267560191811,0.2079413054936313,0.052715494171149443,True,0.1777815818786621,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count5/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_234846
20newsgroups,d-federaser,44,AS,6,,3 4 6 7 8 9,6,0.4007809209238237,0.017086090952823856,0.43215760085325294,4,0.4991436925647452,0.015752535439719637,0.3236766286197532,0.07728491354160034,0.12240520143407749,0.07842540442346613,True,0.13737940788269043,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count6/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_235014
20newsgroups,d-federaser,44,AS,7,,3 4 5 6 7 8 9,7,0.4133928700912337,0.010594524637355723,0.43002801120448175,3,0.5312746151092015,0.01020819509930773,0.17799121069185517,0.04477431918063638,0.09727722620624712,0.06594812473595067,True,0.12371945381164551,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count7/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_235150
20newsgroups,d-federaser,44,AS,8,,2 3 4 5 6 7 8 9,8,0.39351611248997753,0.02970800007029477,0.43362914862914864,6,0.5291666666666667,0.016066969926797854,0.11663648619958653,0.028254489938470607,0.061921669310094074,0.07407286826388293,True,0.08010315895080566,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count8/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_235403
20newsgroups,d-federaser,44,AS,9,,1 2 3 4 5 6 7 8 9,9,0.3880245990434744,0.030726519155358546,0.4314077808156756,6,0.5214007240323029,0.01953742442140907,2.896988204881268e-16,7.867692934960096e-17,1.457167719820518e-16,0.08401918390738089,True,0.005760908126831055,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count9/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_235601
20newsgroups,d-federaser,44,LS,,0.1,1 2 3 4 5 6 7 8 9,9,0.2955926375331405,0.058505687953506816,0.3992748917748918,4,0.5380813143971037,0.037429019123249724,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.1_topratio_ours/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260526_235907
20newsgroups,d-federaser,44,LS,,0.2,1 2 3 4 5 6 7 8 9,9,0.38016613703176033,0.03582000727636006,0.4381805694305695,4,0.5470899470899471,0.025727723984832734,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.2_topratio_ours/K10/G10_L5/alpha0.5/seed44_20260209_082328/dfu_20260527_000121
