dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-fedrecovery,AS,8,,3,"42,43,44",0.471113194415568,0.02270690819711216,0.40200642171765194,0.027389028068779138,0.548446587566446,0.03360886300800445,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.09073956807454427,0.012104001109196138
20newsgroups,d-fedrecovery,AS,9,,3,"42,43,44",0.502732233547451,0.02094836021092427,0.40655748452030543,0.02616308674886758,0.551081229940142,0.010844525452634512,2.1206994493816467e-15,1.600457201381835e-15,9.853229343548264e-16,8.505359404188939e-16,0.11558977233808167,0.022893532930897968,0.005507230758666992,0.00024838257927603004
20newsgroups,d-fedrecovery,LS,,0.1,3,"42,43,44",0.600789196183933,0.008087726304406774,0.5497628490278682,0.017208726915191572,0.5711883442017601,0.02680616400091401,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.2,3,"42,43,44",0.6099639621930643,0.01733892133698747,0.5346861998997586,0.010057198368932057,0.5758063707496112,0.034841721683200655,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.3,3,"42,43,44",0.5303100439865146,0.01370418880253521,0.47035412137100263,0.01608071958554548,0.5731531421712757,0.035114364626468,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.4,3,"42,43,44",0.5142649779414485,0.018496695667565594,0.4623891145524083,0.018976244297116883,0.5720594635160461,0.03182473640656133,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.5,3,"42,43,44",0.5040606681847091,0.002129047621532453,0.4446165747703239,0.011902699279005715,0.5645815122079312,0.029914951634898008,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.6,3,"42,43,44",0.5049207688023477,0.016369595724570987,0.43718831069269853,0.00591097186627573,0.560322970230091,0.023639150086099257,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.7,3,"42,43,44",0.5156208752261384,0.015502399509076859,0.4329542983547627,0.016064733619527607,0.5551996308003975,0.02508891101575916,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.8,3,"42,43,44",0.5034786753207805,0.015376569418949628,0.42642532105249725,0.014104598724337765,0.5564853940867504,0.026947975348675577,,,,,,,,
20newsgroups,d-fedrecovery,LS,,0.9,3,"42,43,44",0.4858402653990889,0.032965264513586924,0.42152998540581166,0.010743110645696653,0.5551197512497822,0.0205936382510404,,,,,,,,
20newsgroups,d-fedrecovery,LS,,1.0,3,"42,43,44",0.48603049728049724,0.0180635337271235,0.41152654115351084,0.008877941067197507,0.5531332894667702,0.020540984151108447,,,,,,,,
20newsgroups,d-oblivionis,AS,1,,3,"42,43,44",0.22408055918475478,0.05872178077966394,0.22408055918475478,0.05872178077966394,0.5705742265008077,0.02124864931848196,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.016400734583536785,0.001733774293554255
