dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-federaser,DSU,4,0.6,3,"42,43,44",0.4559703795230111,0.03405917669653149,0.4433633678341496,0.03770784925867189,0.521134083617498,0.040574850461115704,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.24052031834920248,0.03438916947948011
20newsgroups,d-federaser,DSU,4,0.7,3,"42,43,44",0.4937184816673981,0.04805495344192744,0.4598381835409447,0.057926664410404574,0.5148801147253159,0.033946997319182756,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.2407716910044352,0.03501736059973736
20newsgroups,d-federaser,DSU,4,0.8,3,"42,43,44",0.5032291855318172,0.040282022129798555,0.46500779893661676,0.04360233752296405,0.519797775569558,0.027861600363750825,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.2612415949503581,0.014877877634188288
20newsgroups,d-federaser,DSU,4,0.9,3,"42,43,44",0.4621533026744024,0.025440366553930907,0.4299966967294333,0.045302334267051436,0.5155937095731434,0.027907940536742084,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.2466444969177246,0.041609889121466424
20newsgroups,d-federaser,DSU,4,1.0,3,"42,43,44",0.4696157546157546,0.027270259479537855,0.4318726404787786,0.03891484917861451,0.5158792065470525,0.027111315852963155,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.2514051596323649,0.023151154892164454
20newsgroups,d-federaser,DSU,5,0.1,3,"42,43,44",0.3817479332896953,0.02570500628950034,0.33169095934144843,0.0339991632901913,0.5632359291403961,0.04359164027920045,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.21603886286417642,0.028702102536585415
20newsgroups,d-federaser,DSU,5,0.2,3,"42,43,44",0.4117356935003994,0.034604539661182154,0.38562606342172906,0.02769938350650992,0.5509622860308397,0.03055659541106202,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.219236691792806,0.02976285112311243
20newsgroups,d-federaser,DSU,5,0.3,3,"42,43,44",0.45395122908280805,0.045423839128046165,0.41961889040250866,0.03758142658669805,0.5340475456530299,0.032290775008607706,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.22041495641072592,0.04115915990298126
20newsgroups,d-federaser,DSU,5,0.4,3,"42,43,44",0.44707089207089207,0.027961614763231783,0.4054641351999879,0.025252147754351608,0.5363433539284932,0.03294202708351975,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.21977130572001138,0.03293465810322435
20newsgroups,d-federaser,DSU,5,0.5,3,"42,43,44",0.4539964610552845,0.03434610985826572,0.41892289345688183,0.029023690877098756,0.5331426095158956,0.02969020094287585,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.21766074498494467,0.031131054937981933
